Time,Res_Freq,Amplitude,Phase,Sample_number,Peak,Before_compression,After_compression,Compression_ratio,Compression_time
600.950373,3962.720309,18.894,13.15,8,1,13.99,11.2,1.249107142857143,70.40002600000003
162.25028,3963.734292,9.558,-15.64,11,0,14.33,11.3,1.2681415929203539,188.85680300000013
966.800298,3963.827086,8.09,-21.88,9,1,12.8,10.3,1.2427184466019416,1032.556058
723.450379,3963.848878,13.864,-6.38,7,1,14.33,11.3,1.2681415929203539,2245.699446
770.800087,3963.884663,2.202,-57.95,6,1,13.99,11.2,1.249107142857143,165.1504460000001
967.150318,3963.885606,15.18,-18.72,9,1,12.8,10.3,1.2427184466019416,1032.556058
723.150362,3964.020512,13.34,-10.9,7,1,14.33,11.3,1.2681415929203539,2245.699446
723.550385,3964.143034,14.23,-4.05,7,1,14.33,11.3,1.2681415929203539,2245.699446
723.350373,3964.360676,13.768,-7.89,7,1,14.33,11.3,1.2681415929203539,2245.699446
554.550719,3964.424392,10.668,-23.22,8,1,13.99,11.2,1.249107142857143,70.40002600000003
972.650632,3964.669634,17.978,-14.49,9,1,12.8,10.3,1.2427184466019416,1032.556058
923.800838,3964.689908,11.326,-16.74,9,1,12.8,10.3,1.2427184466019416,1032.556058
969.406447,3964.953823,4.086,-28.45,9,1,12.8,10.3,1.2427184466019416,1032.556058
723.250368,3965.394944,14.558,-0.94,7,1,14.33,11.3,1.2681415929203539,2245.699446
966.900304,3965.568339,19.084,-0.19,9,1,12.8,10.3,1.2427184466019416,1032.556058
723.050356,3966.099321,15.088,5.87,7,1,14.33,11.3,1.2681415929203539,2245.699446
722.95035,3966.099321,15.088,5.87,7,1,14.33,11.3,1.2681415929203539,2245.699446
1010.000769,3966.201506,12.65,-13.59,9,1,12.8,10.3,1.2427184466019416,1032.556058
1009.50074,3966.993121,17.912,-2.77,9,1,12.8,10.3,1.2427184466019416,1032.556058
162.153275,3967.372604,8.776,-21.11,11,0,14.33,11.3,1.2681415929203539,188.85680300000013
598.750247,3967.521631,19.806,-23.46,8,1,13.99,11.2,1.249107142857143,70.40002600000003
966.600286,3967.579843,7.36,-33.39,9,1,12.8,10.3,1.2427184466019416,1032.556058
969.500453,3968.360675,12.24,4.51,9,1,12.8,10.3,1.2427184466019416,1032.556058
967.000309,3968.628359,19.898,3.54,9,1,12.8,10.3,1.2427184466019416,1032.556058
1009.601746,3968.637711,19.95,-0.47,9,1,12.8,10.3,1.2427184466019416,1032.556058
1343.099821,3968.830623,9.57,48.1,7,1,14.33,11.3,1.2681415929203539,2245.699446
1009.800757,3969.11776,17.018,-6.66,9,1,12.8,10.3,1.2427184466019416,1032.556058
1009.900763,3969.11776,17.018,-6.66,9,1,12.8,10.3,1.2427184466019416,1032.556058
968.100372,3969.344109,19.52,14.46,9,1,12.8,10.3,1.2427184466019416,1032.556058
