Time,Res_Freq,Amplitude,Phase,Sample_number,Peak,Before_compression,After_compression,Compression_ratio,Compression_time
123.800081,1675.322671,11.102,-71.84,2,0,14.49,11.16,1.2983870967741935,0
123.905087,1661.900466,12.626,-67.77,2,0,14.49,11.16,1.2983870967741935,0
124.013093,1650.599707,14.21,-63.31,2,0,14.49,11.16,1.2983870967741935,0
124.100098,1641.011579,15.72,-58.81,2,0,14.49,11.16,1.2983870967741935,0
124.250106,1633.008838,17.224,-53.69,2,0,14.49,11.16,1.2983870967741935,0
124.350112,1626.248931,18.622,-48.91,2,0,14.49,11.16,1.2983870967741935,0
124.400115,1626.248931,18.622,-48.91,2,0,14.49,11.16,1.2983870967741935,0
124.550124,1620.533838,19.786,-44.28,2,0,14.49,11.16,1.2983870967741935,0
124.650129,1615.722238,20.804,-39.78,2,0,14.49,11.16,1.2983870967741935,0
124.750135,1611.652486,21.67,-35.73,2,0,14.49,11.16,1.2983870967741935,0
127.199275,1805.057925,3.994,-73.04,3,0,13.99,11.16,1.253584229390681,0
128.84937,2932.868972,1.302,28.8,3,0,13.99,11.16,1.253584229390681,0
129.250393,3050.895518,1.038,48.77,3,0,13.99,11.16,1.253584229390681,0
129.449404,3115.316929,1.114,41.11,3,0,13.99,11.16,1.253584229390681,0
129.54941,3141.767885,1.268,49.75,3,0,13.99,11.16,1.253584229390681,0
129.649415,3165.797465,1.254,47.13,3,0,13.99,11.16,1.253584229390681,0
129.749421,3207.423186,1.042,59.23,3,0,13.99,11.16,1.253584229390681,0
129.849427,3229.045876,1.362,43.82,3,0,13.99,11.16,1.253584229390681,0
129.949433,3247.997995,1.278,40.05,3,0,13.99,11.16,1.253584229390681,0
130.051439,3275.218707,1.184,49.43,3,0,13.99,11.16,1.253584229390681,0
130.199447,3291.315388,1.264,35.11,3,0,13.99,11.16,1.253584229390681,0
130.299453,3296.134634,1.842,7.51,3,0,13.99,11.16,1.253584229390681,0
130.399458,3304.722415,1.548,18.52,3,0,13.99,11.16,1.253584229390681,0
130.499464,3331.919553,1.222,48.98,3,0,13.99,11.16,1.253584229390681,0
130.60047,3331.919553,1.222,48.98,3,0,13.99,11.16,1.253584229390681,0
130.704476,3346.365138,1.442,31.62,3,0,13.99,11.16,1.253584229390681,0
130.799481,3350.983541,1.93,6.63,3,0,13.99,11.16,1.253584229390681,0
130.899487,3375.916871,1.52,46.42,3,0,13.99,11.16,1.253584229390681,0
130.999493,3399.73554,1.372,45.03,3,0,13.99,11.16,1.253584229390681,0
131.099499,3438.604523,1.386,56.48,3,0,13.99,11.16,1.253584229390681,0
131.199504,3478.089986,1.462,56.57,3,0,13.99,11.16,1.253584229390681,0
131.29951,3472.163042,2.804,-27.67,3,0,13.99,11.16,1.253584229390681,0
131.399516,3497.15942,1.446,45.56,3,0,13.99,11.16,1.253584229390681,0
131.499521,3514.501379,2.274,35.36,3,0,13.99,11.16,1.253584229390681,0
131.600527,3538.50676,2.166,44.17,3,0,13.99,11.16,1.253584229390681,0
131.699533,3533.092015,2.072,-25.84,3,0,13.99,11.16,1.253584229390681,0
131.805539,3559.863268,2.09,46.89,3,0,13.99,11.16,1.253584229390681,0
131.899544,3577.029988,1.74,34.58,3,0,13.99,11.16,1.253584229390681,0
131.99955,3584.523337,1.47,13.82,3,0,13.99,11.16,1.253584229390681,0
132.099555,3571.908053,1.92,-44.32,3,0,13.99,11.16,1.253584229390681,0
132.209562,3551.976613,2.098,-57.64,3,0,13.99,11.16,1.253584229390681,0
132.299567,3551.976613,2.098,-57.64,3,0,13.99,11.16,1.253584229390681,0
135.999779,2073.554455,2.266,-95.64,3,0,13.99,11.16,1.253584229390681,0
136.099784,1964.21917,2.866,-94.66,3,0,13.99,11.16,1.253584229390681,0
