Time,Res_Freq,Amplitude,Phase,Sample_number,Peak,Before_compression,After_compression,Compression_ratio,Compression_time
2089.950539,1447.307771,27.092,-5.15,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2257.600127,1447.308007,27.078,-5.14,9,0,12.8,0.0,inf,251.94340899999997
2256.400059,1447.308007,27.074,-5.23,9,0,12.8,0.0,inf,251.94340899999997
2443.005732,1447.308085,27.098,-5.17,9,0,12.8,0.0,inf,251.94340899999997
2200.449859,1447.308184,26.946,-3.19,7,0,14.33,0.0,inf,340.75648900000084
1508.900304,1447.30847,27.088,-5.18,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1536.349874,1447.308488,27.064,-5.2,9,0,12.8,0.0,inf,251.94340899999997
1556.250012,1447.308502,27.052,-5.18,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1569.150751,1447.30851,27.078,-5.21,9,0,12.8,0.0,inf,251.94340899999997
1598.70044,1447.308528,27.038,-5.21,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1482.700806,1447.308565,27.046,-5.17,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1483.899874,1447.308566,27.04,-5.19,9,0,12.8,0.0,inf,251.94340899999997
1680.600125,1447.308566,27.042,-5.23,9,0,12.8,0.0,inf,251.94340899999997
1046.199839,1447.308596,27.068,-5.12,10,0,12.8,0.0,inf,22.800303999999997
2354.050644,1447.308688,26.98,-4.66,8,0,13.99,11.2,1.249107142857143,243.39392099999986
2101.800216,1447.309158,27.078,-5.23,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2160.800591,1447.309199,27.072,-5.21,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2401.100335,1447.309331,27.076,-5.17,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2413.150024,1447.309337,27.078,-5.22,9,0,12.8,0.0,inf,251.94340899999997
1510.000367,1447.309734,27.048,-5.15,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1561.10029,1447.309768,27.08,-5.19,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1561.300302,1447.309768,27.084,-5.17,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1603.804732,1447.309794,27.084,-5.18,9,0,12.8,0.0,inf,251.94340899999997
1630.050234,1447.309807,27.078,-5.17,9,0,12.8,0.0,inf,251.94340899999997
1638.050691,1447.309811,27.052,-5.22,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1642.899969,1447.309813,27.054,-5.28,9,0,12.8,0.0,inf,251.94340899999997
1660.199958,1447.309823,27.1,-5.21,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1726.550753,1447.309852,27.082,-5.2,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1760.600701,1447.309869,27.054,-5.2,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1791.300457,1447.309885,27.076,-5.23,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
1859.650366,1447.309915,27.058,-5.25,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2173.050292,1447.31047,27.084,-5.21,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2247.700561,1447.310528,27.096,-5.19,9,0,12.8,0.0,inf,251.94340899999997
2300.000553,1447.310552,27.066,-5.27,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2306.099902,1447.310554,27.076,-5.22,9,0,12.8,10.3,1.2427184466019416,251.94340899999997
2312.450265,1447.310557,27.08,-5.21,9,0,12.8,0.0,inf,251.94340899999997
